original_filename,tpl_name,version
commons-validator-1.4.0.jar,commons-validator,1.4.0
converter-jackson-2.0.0-beta2.jar,converter-jackson,2.0.0-beta2
core-1.54.0.0.jar,core,1.54.0.0
core-3.2.1.jar,core,3.2.1
core-3.2.0.jar,core,3.2.0
cupboard-2.1.1.jar,cupboard,2.1.1
dagger-1.2.2.jar,dagger,1.2.2
dagger-compiler-1.2.2.jar,dagger-compiler,1.2.2
dashclock-api-2.0.0.jar,dashclock-api,2.0.0
de.cketti.share.share-intent-builder.0.0.2.jar,de.cketti.share.share-intent-builder,0.0.2
de.hdodenhof.circleimageview.2.0.0.jar,de.hdodenhof.circleimageview,2.0.0
de.psdev.licensesdialog.licensesdialog.1.7.0.jar,de.psdev.licensesdialog.licensesdialog,1.7.0
de.psdev.licensesdialog.licensesdialog.1.8.0.jar,de.psdev.licensesdialog.licensesdialog,1.8.0
disklrucache-2.0.2.jar,disklrucache,2.0.2
drawablepagertabstrip.jar,drawablepagertabstrip,0
epublib-core-3.1.jar,epublib-core,3.1
eu.chainfire.libsuperuser.1.0.0.201702212052.jar,eu.chainfire.libsuperuser,1.0.0.201702212052
eu.chainfire.libsuperuser.1.0.0.201608240809.jar,eu.chainfire.libsuperuser,1.0.0.201608240809
eventbus-3.0.0.jar,eventbus,3.0.0
eventbus-2.4.0.jar,eventbus,2.4.0
ez-vcard-0.9.6.jar,ez-vcard,0.9.6
fastjson-1.2.11.jar,fastjson,1.2.11
freemarker-2.3.20.jar,freemarker,2.3.20
glide-3.7.0.jar,glide,3.7.0
glide-3.5.2.jar,glide,3.5.2
greendao-2.0.0.jar,greendao,2.0.0
greendao-1.3.7.jar,greendao,1.3.7
gson-2.8.0.jar,gson,2.8.0
gson-2.3.1.jar,gson,2.3.1
gson-1.7.2.jar,gson,1.7.2
gson-2.2.4.jar,gson,2.2.4
gson-2.4.jar,gson,2.4
gson-2.5.jar,gson,2.5
gson-2.3.jar,gson,2.3
guava-18.0.jar,guava,18.0
