original_filename,tpl_name,version
androidx.navigation.navigation-runtime-2.3.0.jar,androidx.navigation.navigation-runtime,2.3.0
androidx.navigation.navigation-runtime-2.3.1.jar,androidx.navigation.navigation-runtime,2.3.1
androidx.navigation.navigation-runtime-2.3.5.jar,androidx.navigation.navigation-runtime,2.3.5
androidx.navigation.navigation-runtime-2.5.3.jar,androidx.navigation.navigation-runtime,2.5.3
androidx.navigation.navigation-runtime-ktx-2.3.0.jar,androidx.navigation.navigation-runtime-ktx,2.3.0
androidx.navigation.navigation-ui-2.3.0.jar,androidx.navigation.navigation-ui,2.3.0
androidx.navigation.navigation-ui-2.3.1.jar,androidx.navigation.navigation-ui,2.3.1
androidx.navigation.navigation-ui-2.3.5.jar,androidx.navigation.navigation-ui,2.3.5
androidx.navigation.navigation-ui-2.5.3.jar,androidx.navigation.navigation-ui,2.5.3
androidx.navigation.navigation-ui-ktx-2.3.0.jar,androidx.navigation.navigation-ui-ktx,2.3.0
androidx.paging.paging-runtime-3.1.1.jar,androidx.paging.paging-runtime,3.1.1
androidx.preference.preference-1.1.1.jar,androidx.preference.preference,1.1.1
androidx.preference.preference-1.2.0.jar,androidx.preference.preference,1.2.0
androidx.preference.preference-ktx-1.1.1.jar,androidx.preference.preference-ktx,1.1.1
androidx.preference.preference-ktx-1.2.0.jar,androidx.preference.preference-ktx,1.2.0
androidx.print.print-1.0.0.jar,androidx.print.print,1.0.0
androidx.recyclerview.recyclerview-1.0.0.jar,androidx.recyclerview.recyclerview,1.0.0
androidx.recyclerview.recyclerview-1.1.0.jar,androidx.recyclerview.recyclerview,1.1.0
androidx.recyclerview.recyclerview-1.2.1.jar,androidx.recyclerview.recyclerview,1.2.1
androidx.recyclerview.recyclerview-1.3.0.jar,androidx.recyclerview.recyclerview,1.3.0
androidx.room.room-ktx-2.4.3.jar,androidx.room.room-ktx,2.4.3
androidx.room.room-ktx-2.5.0.jar,androidx.room.room-ktx,2.5.0
androidx.room.room-paging-2.5.0.jar,androidx.room.room-paging,2.5.0
androidx.room.room-runtime-2.4.3.jar,androidx.room.room-runtime,2.4.3
androidx.room.room-runtime-2.5.0.jar,androidx.room.room-runtime,2.5.0
androidx.savedstate.savedstate-1.0.0.jar,androidx.savedstate.savedstate,1.0.0
androidx.savedstate.savedstate-1.1.0.jar,androidx.savedstate.savedstate,1.1.0
androidx.savedstate.savedstate-1.2.0.jar,androidx.savedstate.savedstate,1.2.0
